"ssn","bank_name","IBAN","account_id"
"49284506072","ملت","IR864742536804007312544668","7793573"
"49284506072","ملی","IR726287702559055238007536","9760702"
"49284506072","سرمایه","IR138840843587417316495884","6284566"
"94083209289","صادرات","IR544728175690781399460110","9854691"
"94083209289","سرمایه","IR579087324849075420122390","2340159"
"94083209289","تجارت","IR443919124392090916914659","4563930"
"94083209289","ملی","IR549567907853328016634112","4320318"
"71751387952","تجارت","IR342920717260781122603453","9092000"
"71751387952","تجارت","IR611301250758334262722100","6457226"
"35050226466","ملی","IR118824742706495149111010","2157585"
"72282806767","سرمایه","IR756535688141394006365520","4021015"
"72282806767","صادرات","IR553180487966018106388034","2939223"
"72282806767","ملت","IR673623644436323841091165","2031073"
"34425929482","ملی","IR839051112045623603062824","1877838"
"34425929482","سرمایه","IR398129889142642968080040","9760540"
"93221835531","ملی","IR122926563504109491470168","7555904"
"93221835531","سرمایه","IR863025880010701574765973","7554811"
"20047783616","ملت","IR576300642314617861776158","5500458"
"20047783616","ملی","IR388792151102831498188239","8797376"
"90030103143","صادرات","IR438698602755566513783304","9572504"
"90030103143","ملت","IR863563286769815345047692","2069175"
"69684294700","ملی","IR603824368803568233448671","6402495"
"69684294700","ملی","IR477815492650258392785892","2986478"
"69684294700","ملت","IR897054848934195811020628","9129415"
"51202509863","سرمایه","IR209551411475645528561326","2678549"
"70014970071","صادرات","IR634715540100913160206894","6143242"
"44498501608","ملی","IR766303470438022588711571","5781139"
"15515325965","صادرات","IR785068454013782631065989","6585011"
"15515325965","سرمایه","IR434109279170731389042993","5362054"
"87801294918","ملی","IR566960068421515550935312","6001810"
"87801294918","صادرات","IR619936446444731752135873","9046417"
"87801294918","سرمایه","IR481725483004970931775869","9384122"
"51637249073","ملت","IR758075328036986394374326","2538236"
"51637249073","تجارت","IR663544727228589643191533","2375377"
"84042292840","سرمایه","IR685348599227833210437564","8137473"
"84042292840","ملت","IR211661504967843778692678","5858878"
"84042292840","صادرات","IR995230719609549252599673","2723651"
"84042292840","ملی","IR804805592891104264908843","2140750"
"64265591956","صادرات","IR128062778313947963833043","4902302"
"64265591956","ملت","IR938176914535602326783236","2642735"
"54095520556","ملی","IR915107110755426115406336","5049579"
"54095520556","ملت","IR883867430408588685265145","8382117"
"54095520556","تجارت","IR503932425000588498351903","3903355"
"79120331051","سرمایه","IR272721208546259469055403","3943746"
"79120331051","سرمایه","IR636359163949711775392358","5415788"
"79120331051","ملی","IR153532797082982423792422","3867292"
"79120331051","تجارت","IR613087101749513355209874","2019070"
"82149006126","سرمایه","IR544374737679329681874502","9712775"
