"ssn","price","postal_code","size","address"
"83686456464","897666955","4325131061","270","16766 اميررضا میدان واحد 155, جنوب کيانا, آذربایجان شرقی 181053"
"67096667848","579674966","4652983619","88","0878 کيانا بزرگ راه, شهر علي, مرکزی 2942178830"
"58632061025","966880018","6756542980","261","41959 زارعی تونل واحد 116, روستای محمد, سمنان 848"
"58632061025","257004631","6968466373","109","688 صنایعی آزاد راه, استان رقیه, آذربایجان غربی 92637"
"12589578336","771617126","5483803495","176","67667 نوری آزاد راه, شمال عليرضا, لرستان 60783"
"12589578336","418924878","6964786121","88","194 کوثر آزاد راه واحد 807, شهرستان یاسین, کردستان 548"
"69999336503","456333025","4453714762","172","313 امیر علی پل, روستای عباس, لرستان 3659"
"69999336503","457849104","4376524911","141","595 نیلوفری بن بست, شهرستان محمدپارسا, گیلان 294"
"72751187132","50796394","7785691424","251","403 عباس جزیره, غرب عباس, چهارمحال و بختیاری 32406"
"79107900015","953917472","1801314255","250","4795 النا جزیره, بندر اسرا, هرمزگان 99126"
"79107900015","263351371","4738391623","300","8955 بهار خیابان واحد 253, دهستان ماهان, خراسان 6082"
"14893667168","530448159","7283669878","149","14613 جهانی جنب, باغات هانيه, قم 3337248329"
"14893667168","486898271","3232821124","234","00925 ولاشجردی کوه, شهر محدثه, چهارمحال و بختیاری 8698"
"32882154090","655747617","8748698966","120","730 محمدامین جاده, غرب عسل, مرکزی 485469"
"48030028327","563014715","2203998430","128","564 هدایت جاده, روستای كیان, مازندران 8414"
"59423035636","755621995","2943982330","192","41550 سلطانی جزیره, جنوب نازنین, البرز 273151"
"43353751691","66575069","3785217012","104","249 پویان دره سوئیت 529, شمال مهدیس, بوشهر 807863"
"43353751691","196480490","9451904202","127","00813 آراد چهار راه واحد 938, بندر آیلین, هرمزگان 707"
"65397907614","507994408","5191172084","179","2383 سمسار تقاطع, روستای مهسا, لرستان 6727409526"
"65397907614","896708744","2679182230","124","806 تنزیلی پل, باغات رها, کرمان 830"
"33353796394","227676824","8518811540","207","663 آريا میدان واحد 387, روستای معصومه, خراسان 346486"
"12068257040","107837841","3951414239","264","9700 آيلين دره واحد 823, بندر آرش, اصفهان 523819"
"11706412609","893159418","2195459521","248","00967 اکبر پور میدان, بندر مبين, زنجان 9242185170"
"93654711565","506401556","4382260615","103","63187 ایروانی کوچه سوئیت 678, غرب رضا, خراسان جنوبی 080901"
"37682401715","742363162","8371964858","201","812 رقيه تقاطع, شرق محمدحسين, کهگیلویه و بویراحمد 68186"
"75421603657","668310229","7374241290","202","7192 شاکری بزرگ راه واحد 249, غرب اميرمحمد, فارس 38485"
"54850262292","382308273","9596100888","188","203 جنتی جنب سوئیت 634, بندر محمدجواد, قزوین 5959"
"15292445804","650046362","3029506766","124","6937 لاهوتی کوه, غرب آیلین, گلستان 13887"
"15292445804","214488600","5838472285","158","5844 تحسینی جنب, بندر اميرمحمد, خوزستان 032465"
"22989858409","647745856","7796410867","152","93796 اسرا آزاد راه سوئیت 361, استان ستایش, قزوین 10898"
"22989858409","614060772","5167058733","283","577 ابوالفضل بن بست سوئیت 851, بندر مهسا, قزوین 5300757843"
"47956651213","232543984","9098340497","197","83823 آتنا جزیره, جنوب نرگس, گلستان 48382"
"47956651213","403441461","9572165435","233","91974 لاچینی خیابان واحد 059, استان محمدحسين, کرمان 024970"
"67396680233","108437998","8823508536","235","734 ماهان دره, جنوب ابوالفضل, سمنان 9176113546"
"75071826064","684932994","3508554600","130","036 زهرا جزیره, بندر اميررضا, آذربایجان غربی 5369058555"
"95548874008","648864092","5811283418","137","97874 مبينا تقاطع, شهر نازنین زهرا, کهگیلویه و بویراحمد 26911"
"18990781924","132354891","1078468136","186","78728 جهانی بن بست واحد 523, غرب احسان, یزد 4699379652"
"92640986638","607054277","8978692214","121","421 فاطمه چهار راه واحد 972, شهرستان مهديس, فارس 972"
"92640986638","735767343","7648417737","224","8003 امیرعباس بن بست سوئیت 637, شرق عباس, خوزستان 157512"
"96220438200","599896392","3782778238","153","01959 مجتبوی چهار راه, غرب باران, البرز 681"
"40977700874","842272632","1891881472","83","68560 عبدالعلی آزاد راه, شهرستان آتنا, سمنان 5698384876"
"40977700874","182976278","9568476398","170","77800 معصومه تونل, دهستان آرين, مازندران 3950492797"
"92384155263","713668264","9837236274","153","03354 نيايش جاده سوئیت 172, شهرستان سارا, کردستان 5538854678"
"92384155263","804775666","6249063059","203","5856 شاکری کوچه, بندر مبين, تهران 4833"
"45768118917","136647470","5146865289","168","151 متين جاده, شرق محمدجواد, خراسان 7445"
"45768118917","919457848","3403348303","104","750 مبين تقاطع واحد 554, استان حسام, ایلام 6191085747"
"34594767716","237108327","1356275759","122","389 مائده تونل, غرب محمدحسین, قم 55698"
"34594767716","68388324","1717269769","102","734 روحانی تونل, دهستان آريا, چهارمحال و بختیاری 605"
"33824312705","565203033","8919778511","158","476 شاکری تقاطع سوئیت 329, شهرستان محيا, سمنان 4394"
"33824312705","312143528","4777699996","133","97902 اشرفی جزیره سوئیت 766, شمال دانیال, خراسان رضوی 859470"
"63663026801","738823852","3923136319","232","64879 ضرغامی کوچه, شمال ملیكا, کردستان 48629"
"32537921432","731994903","8202350980","129","8296 سوگند کوه, شهر هانيه, گیلان 562"
"32537921432","865397937","5947383968","111","6198 کریمی بن بست, شهر علی رضا, اصفهان 9324"
"40990993781","939242656","7895792887","144","8149 ضابطی تونل واحد 789, بندر یوسف, اصفهان 799"
"15206424745","835273497","1020667680","198","65116 کریمی جنب, استان احسان, خوزستان 56628"
"15206424745","958356451","5223572893","256","20261 محجوب کوه واحد 493, شمال ملیكا, آذربایجان شرقی 092"
"92782700458","463374838","4297221980","264","067 الناز کوه, باغات مائده, خراسان جنوبی 8085"
"48338600065","201490580","5800381308","266","4553 آرمین تونل سوئیت 407, شرق عرفان, آذربایجان شرقی 69705"
"56894871584","745340833","7207525415","126","9109 طلوعی بن بست, شهر مائده, کردستان 807"
"95108424449","184571694","5651109574","296","07985 متین میدان, دهستان محمد مهدی, البرز 272"
"95108424449","875196277","1676579954","285","90764 تهرانی کوچه, جنوب محمد مهدی, کهگیلویه و بویراحمد 645"
"18462145012","995241663","1746626487","133","21138 هنری جاده سوئیت 870, دهستان حسنا, سیستان و بلوچستان 64557"
"18462145012","436750950","7922858305","198","5224 زهرا میدان, شرق آرش, خراسان شمالی 359430"
"84288868087","859637185","8386368876","163","9183 رسولی کوه, بندر محدثه, آذربایجان شرقی 422025"
"84288868087","916296793","2744213455","137","160 متين کوچه واحد 186, شرق نازنین زهرا, گیلان 7142"
"65278772097","159460450","9904200775","175","96153 سعیدی بزرگ راه, دهستان احسان, زنجان 5933"
"95715948404","572338652","4394251439","295","12034 عرفان کوچه سوئیت 382, استان امیرحسین, خراسان رضوی 4040560094"
"95715948404","386541387","3445710308","116","16868 جنتی آزاد راه سوئیت 082, شهر سبحان, کرمان 2585"
"85969783726","933297898","6266812211","170","330 نازنین زهرا تقاطع, روستای کوثر, چهارمحال و بختیاری 4652907326"
"85969783726","404868727","7088136074","99","7517 موحد کوچه, بندر محمدياسين, تهران 672066"
"87507922599","439037914","9992712668","184","5708 پویان کوه واحد 963, شهرستان مريم, کرمانشاه 325703"
